carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz B 180 Edition 1 Sports Tourer BLUE EFF TOP AU...,10.870 €,89.500 km,1.595 cm³,90 kW (122 PS),Benzin,Schaltgetriebe,-1,01/2012,5,4/5,Euro5,Van / Minibus,1,Unfallfrei
Mercedes-Benz Mercedes E 230 Verkaufe oder Tausche mit C...,8.500 €,113.000 km,-1,150 kW (204 PS),Benzin,Schaltgetriebe,-1,05/2008,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz E 320 T CDI Avantgarde *LEDER*NAVI*XENON*PDC*27,8.900 €,207.400 km,2.987 cm³,165 kW (224 PS),Diesel,Automatik,-1,03/2008,5,4/5,Euro4,Kombi,2,-1
Mercedes-Benz C 180 T CGI BlueEfficiency Avantgarde/ Automatik,9.350 €,169.200 km,1.796 cm³,115 kW (156 PS),Benzin,Automatik,-1,01/2012,5,4/5,Euro5,Kombi,2,-1
Mercedes-Benz B -Klasse B 180 Neue Modell,8.990 €,115.000 km,1.595 cm³,90 kW (122 PS),Benzin,Schaltgetriebe,-1,07/2013,5,4/5,Euro6,Van / Minibus,-1,-1
Mercedes-Benz ML 320 CDI 4Matic 7G-TRONIC,8.300 €,185.000 km,2.987 cm³,165 kW (224 PS),Diesel,Automatik,-1,12/2006,5,4/5,Euro4,SUV / Geländewagen / Pickup,3,Unfallfrei
Mercedes-Benz Mercedes Benz C 220 CDI /AVANTGARDE / 170...,8.500 €,147.000 km,-1,125 kW (170 PS),Diesel,Automatik,-1,09/2009,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz A -Klasse A 180 BlueEfficiency,8.999 €,110.000 km,1.595 cm³,90 kW (122 PS),Benzin,Schaltgetriebe,-1,10/2012,5,4/5,Euro6,Limousine,-1,-1
"Mercedes-Benz E 220 CDI T BlueEfficiency,AVANTGARDE, Tüv neu",10.400 €,195.752 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,03/2011,5,4/5,Euro5,Kombi,2,-1
Mercedes-Benz C 180 T CGI Automatik BlueEFFICIENCY Avantgarde,10.500 €,115.000 km,1.796 cm³,115 kW (156 PS),Benzin,Automatik,-1,03/2010,5,4/5,Euro5,Kombi,3,Unfallfrei
Mercedes-Benz Mercedes C220 CDI Blue Efenic Model 2012 E...,8.500 €,310.000 km,-1,125 kW (170 PS),Diesel,Schaltgetriebe,-1,11/2011,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes E 350 CDI 4-Ma Voll Leder Navi AHK,9.850 € (Brutto),217.590 km,2.987 cm³,170 kW (231 PS),Diesel,Automatik,-1,04/2010,5,4/5,Euro5,Kombi,2,Unfallfrei
Mercedes-Benz Mercedes-Benz A 180 CDI,11.000 €,102.918 km,-1,80 kW (109 PS),Diesel,Schaltgetriebe,-1,03/2014,-1,-1,-1,Andere,-1,-1
Mercedes-Benz E 220 CDI Blue-E/DISTRONIC/NAVI-COMAND/KAMERA*,10.990 €,170.000 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,01/2010,5,4/5,Euro5,Limousine,2,Unfallfrei
Mercedes-Benz C -Klasse T-Modell C 220 T CDI BlueEfficiency,9.650 €,176.342 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,12/2013,5,4/5,Euro5,Kombi,1,Unfallfrei
Mercedes-Benz E 350 T-CDI 4-Matic*Comand*Kamera,10.998 €,197.000 km,2.987 cm³,195 kW (265 PS),Diesel,Automatik,-1,03/2011,5,4/5,-1,Kombi,-1,-1
Mercedes-Benz CLC -Klasse 160 Sport*Automatik*1.Hand*Navi*TOP!,10.990 €,94.000 km,1.597 cm³,95 kW (129 PS),Benzin,Automatik,-1,07/2010,4,2/3,Euro4,Limousine,1,Unfallfrei
Mercedes-Benz B 200 Sport Edition Automatik Navi Parktronic,8.350 €,99.000 km,2.034 cm³,100 kW (136 PS),Benzin,Automatik,-1,08/2010,5,4/5,Euro5,Limousine,2,Unfallfrei
"Mercedes-Benz E 350 Blue eff. Avantgarde,Standheizung",8.950 € (Brutto),279.000 km,2.987 cm³,170 kW (231 PS),Diesel,Automatik,-1,12/2010,5,4/5,Euro5,Limousine,2,Unfallfrei
Mercedes-Benz C 320 CDI Avantgarde*Leder*Schiebedach*gepflegt*,9.945 €,97.835 km,2.987 cm³,165 kW (224 PS),Diesel,Schaltgetriebe,2007,10/2007,5,4/5,Euro4,Limousine,2,Unfallfrei
Mercedes-Benz Vito 113 CDI extralang/1.Hand/Regale Bott/SHZ,9.400 € (Brutto),115.000 km,2.143 cm³,100 kW (136 PS),Diesel,Schaltgetriebe,-1,08/2014,2,4/5,Euro5,Van / Minibus,1,Unfallfrei
Mercedes-Benz Vito Kasten 113 CDI extralang/1.Hand/Regale Bott,8.800 € (Brutto),130.000 km,2.143 cm³,100 kW (136 PS),Diesel,Schaltgetriebe,-1,05/2014,2,4/5,Euro5,Van / Minibus,1,Unfallfrei
