carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz GLE 400 d 4M AMG WideScreen 360° Airmat Stdhzg,95.300 € (Brutto),3.000 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,12/2020,-1,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLS 400 d 4M AMG WideScreen 360° Stdhzg Pano,98.900 € (Brutto),3.000 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,11/2020,7,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLS 400 d 4M AMG WideScreen 360° Stdhzg Pano,98.500 € (Brutto),3.000 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,11/2020,7,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz AMG GT 43 4MATIC+ Pano Night 360° V8 Styling,99.990 € (Brutto),14.990 km,2.999 cm³,270 kW (367 PS),Benzin,Automatik,-1,10/2019,4,4/5,Euro6,Sportwagen / Coupé,1,-1
Mercedes-Benz S 560 4M Comand LED Pano Burmester 360 Distronic,111.716 € (Brutto),34.300 km,3.982 cm³,345 kW (469 PS),Benzin,Automatik,-1,12/2017,5,4/5,Euro6,Limousine,1,-1
Mercedes-Benz AMG GT 53 4M+ Performance/Wide/Burm/SHD/Memo/HUD,111.696 € (Brutto),14.108 km,2.999 cm³,320 kW (435 PS),Benzin,Automatik,-1,05/2020,4,4/5,Euro6d-TEMP,"Sportwagen / Coupé, Jahreswagen",1,Unfallfrei
Mercedes-Benz E 63 S AMG T 4M COM+Pano+Mbeam+RIDE+DrivPl+Sthzg,110.675 € (Brutto),11.806 km,3.982 cm³,450 kW (612 PS),Benzin,Automatik,-1,01/2020,5,4/5,Euro6d-TEMP,"Kombi, Jahreswagen",1,Unfallfrei
Mercedes-Benz E 63 S 4M+ AMG Performance Sitz Abg. Carbon I+II,106.177 € (Brutto),13.678 km,3.982 cm³,450 kW (612 PS),"Benzin, E10-geeignet",Automatik,2020,03/2020,5,4/5,Euro6d-TEMP,"Limousine, Jahreswagen",1,-1
Mercedes-Benz 280 SL (W113) Pagode restauriert,99.799 €,56.200 km,2.778 cm³,125 kW (170 PS),Benzin,Automatik,-1,07/1971,-1,2/3,-1,Cabrio / Roadster,5,-1
Mercedes-Benz GLE 53 AMG 4M+ Sitzklima+Burmester+Fahrassist.,113.860 € (Brutto),837 km,2.999 cm³,320 kW (435 PS),Benzin,Automatik,-1,11/2020,5,4/5,Euro6d-TEMP,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLS 400 d 4M AMG WideScreen 360° Stdhzg Pano,104.100 € (Brutto),8.500 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,10/2020,7,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLE 400 d Cp. 4M AMG WideScreen 360° Stdhzg,100.500 € (Brutto),8.500 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,10/2020,-1,4/5,Euro6,"Sportwagen / Coupé, Vorführfahrzeug",1,Unfallfrei
